Row Labels,Sum of year,Sum of lifeExp
Afghanistan,23754,449.746
Albania,23754,821.195
Algeria,23754,708.362
Angola,23754,454.602
Argentina,23754,828.725
Australia,23754,895.955
Austria,23754,877.239
Bahrain,23754,787.268
Bangladesh,23754,598.009
Belgium,23754,883.701
Benin,23754,585.359
Bolivia,23754,630.055
Bosnia and Herzegovina,23754,812.494
Botswana,23754,655.17
Brazil,23754,746.874
Bulgaria,23754,836.925
Burkina Faso,23754,536.328
Burundi,23754,537.808
Cambodia,23754,574.833
Cameroon,23754,577.542
Canada,23754,898.833
Central African Republic,23754,526.403
Chad,23754,561.283
Chile,23754,809.171
China,23754,741.42168
Colombia,23754,766.773
Comoros,23754,628.581
Congo Dem. Rep.,23754,534.525
Congo Rep.,23754,630.023
Costa Rica,23754,842.177
Cote d'Ivoire,23754,581.234
Croatia,23754,840.671
Cuba,23754,852.541
Czech Republic,23754,858.126
Denmark,23754,892.442
Djibouti,23754,556.569
Dominican Republic,23754,738.654
Ecuador,23754,753.802
Egypt,23754,674.916
El Salvador,23754,715.6
Equatorial Guinea,23754,515.52
Eritrea,23754,551.991
Ethiopia,23754,533.709
Finland,23754,875.903
France,23754,892.187
Gabon,23754,614.646
Gambia,23754,532.807
Germany,23754,881.333
Ghana,23754,628.088
Greece,23754,884.798
Guatemala,23754,680.753
Guinea,23754,518.878
Guinea-Bissau,23754,470.523
Haiti,23754,601.983
Honduras,23754,695.05
Hong Kong China,23754,881.914
Hungary,23754,832.718
Iceland,23754,918.137
India,23754,637.993
Indonesia,23754,652.029
Iran,23754,703.639
Iraq,23754,678.981
Ireland,23754,876.207
Israel,23754,883.75
Italy,23754,888.166
Jamaica,23754,824.992
Japan,23754,897.923
Jordan,23754,717.437
Kenya,23754,632.172
Korea Dem. Rep.,23754,763.288
Korea Rep.,23754,780.012
Kuwait,23754,827.068
Lebanon,23754,790.388
Lesotho,23754,600.085
Liberia,23754,509.715
Libya,23754,711.65
Madagascar,23754,573.247
Malawi,23754,520.219
Malaysia,23754,771.355
Mali,23754,520.962
Mauritania,23754,627.625
Mauritius,23754,779.439
Mexico,23754,784.906
Mongolia,23754,670.684
Montenegro,23754,843.59
Morocco,23754,691.306
Mozambique,23754,484.554
Myanmar,23754,639.86
Namibia,23754,641.896
Nepal,23754,587.836
Netherlands,23754,907.782
New Zealand,23754,887.874
Nicaragua,23754,700.193
Niger,23754,534.704
Nigeria,23754,522.976
Norway,23754,910.116
Oman,23754,701.312
Pakistan,23754,658.587
Panama,23754,813.621
Paraguay,23754,801.709
Peru,23754,706.312
Philippines,23754,731.607
Poland,23754,842.123
Portugal,23754,845.038
Puerto Rico,23754,872.872
Reunion,23754,799.731
Romania,23754,819.488
Rwanda,23754,497.779
Sao Tome and Principe,23754,694.756
Saudi Arabia,23754,704.145
Senegal,23754,607.511
Serbia,23754,822.612
Sierra Leone,23754,441.23
Singapore,23754,854.643
Slovak Republic,23754,848.353
Slovenia,23754,859.209
Somalia,23754,491.864
South Africa,23754,647.918
Spain,23754,890.441
Sri Lanka,23754,798.313
Sudan,23754,580.806
Swaziland,23754,588.029
Sweden,23754,914.124
Switzerland,23754,906.781
Syria,23754,736.154
Taiwan,23754,844.04
Tanzania,23754,574.948
Thailand,23754,746.403
Togo,23754,617.985
Trinidad and Tobago,23754,801.936
Tunisia,23754,728.652
Turkey,23754,716.357
Uganda,23754,571.426
United Kingdom,23754,887.071
United States,23754,881.742
Uruguay,23754,849.379
Venezuela,23754,798.968
Vietnam,23754,689.754
West Bank and Gaza,23754,723.944
Yemen Rep.,23754,561.365
Zambia,23754,551.956
Zimbabwe,23754,631.958
Grand Total,3373068,101344.4447
